epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,443.383,0.2476,2.45783,0.99354,0.03805,1,0.35536,0.32233,0.27627,4.20802,0.82218,0.000134718,0.000134718,0.000134718
43,453.905,0.24766,2.32642,0.96206,0.04678,1,0.42345,0.38348,0.28784,4.19848,0.83563,0.000134537,0.000134537,0.000134537
44,464.447,0.21653,2.41041,0.93614,0.04678,1,0.42345,0.38348,0.28784,4.19848,0.83563,0.000134191,0.000134191,0.000134191
45,473.884,0.27416,2.30697,1.03339,0.04941,1,0.49349,0.46018,0.28626,4.16995,0.8311,0.00013368,0.00013368,0.00013368
46,484.925,0.22084,2.29798,0.95959,0.04941,1,0.49349,0.46018,0.28626,4.16995,0.8311,0.000133004,0.000133004,0.000133004
47,495.844,0.20903,2.41157,0.98112,0.04313,1,0.51642,0.4818,0.27322,4.14121,0.82052,0.000132163,0.000132163,0.000132163
48,507.123,0.23793,2.26795,0.96372,0.04313,1,0.51642,0.4818,0.27322,4.14121,0.82052,0.000131156,0.000131156,0.000131156
49,516.815,0.23685,2.44986,0.94977,0.03713,1,0.53312,0.49859,0.27091,4.08836,0.80516,0.000129985,0.000129985,0.000129985
50,526.981,0.25752,2.38996,0.95616,0.03713,1,0.53312,0.49859,0.27091,4.08836,0.80516,0.000128648,0.000128648,0.000128648
51,537.612,0.25787,2.21414,1.00145,0.03314,1,0.53873,0.50646,0.2797,4.02938,0.80336,0.000127147,0.000127147,0.000127147
52,548.213,0.21016,1.9912,0.99097,0.03314,1,0.53873,0.50646,0.2797,4.02938,0.80336,0.00012548,0.00012548,0.00012548
53,557.832,0.20908,2.09279,0.96104,0.03314,1,0.53873,0.50646,0.2797,4.02938,0.80336,0.000123648,0.000123648,0.000123648
54,568.063,0.21765,2.24668,0.92428,0.03158,1,0.56561,0.53854,0.27401,3.98777,0.79775,0.000121652,0.000121652,0.000121652
55,578.95,0.24664,2.08116,0.98379,0.03158,1,0.56561,0.53854,0.27401,3.98777,0.79775,0.00011949,0.00011949,0.00011949
56,589.298,0.24844,1.99345,1.0002,0.03158,1,0.56561,0.53854,0.27401,3.98777,0.79775,0.000117163,0.000117163,0.000117163
57,598.574,0.24359,2.08066,0.91482,0.03234,1,0.566,0.53838,0.26476,3.97334,0.7888,0.000114671,0.000114671,0.000114671
58,608.689,0.24172,2.17098,1.04883,0.03234,1,0.566,0.53838,0.26476,3.97334,0.7888,0.000112013,0.000112013,0.000112013
59,618.92,0.29652,2.11544,1.06301,0.03234,1,0.566,0.53838,0.26476,3.97334,0.7888,0.000109191,0.000109191,0.000109191
60,628.676,0.19539,2.03481,0.91111,0.03113,1,0.56649,0.54499,0.25775,3.95321,0.78382,0.000106204,0.000106204,0.000106204
61,638.589,0.18901,2.04983,0.92472,0.03113,1,0.56649,0.54499,0.25775,3.95321,0.78382,0.000103051,0.000103051,0.000103051
62,648.652,0.24099,2.05388,0.97808,0.03113,1,0.56649,0.54499,0.25775,3.95321,0.78382,9.9734e-05,9.9734e-05,9.9734e-05
63,659.185,0.18003,1.82435,0.95813,0.0326,1,0.55001,0.52811,0.24221,3.95643,0.78192,9.62514e-05,9.62514e-05,9.62514e-05
64,668.832,0.20287,1.76805,0.96033,0.0326,1,0.55001,0.52811,0.24221,3.95643,0.78192,9.26038e-05,9.26038e-05,9.26038e-05
65,679.077,0.20571,1.69369,0.95421,0.0326,1,0.55001,0.52811,0.24221,3.95643,0.78192,8.8791e-05,8.8791e-05,8.8791e-05
66,689.207,0.1837,1.86588,0.92997,0.03369,1,0.55009,0.52783,0.23755,3.94996,0.78647,8.48132e-05,8.48132e-05,8.48132e-05
67,699.373,0.2246,1.83074,0.95203,0.03369,1,0.55009,0.52783,0.23755,3.94996,0.78647,8.06703e-05,8.06703e-05,8.06703e-05
68,708.492,0.23179,1.79984,0.89411,0.03369,1,0.55009,0.52783,0.23755,3.94996,0.78647,7.63623e-05,7.63623e-05,7.63623e-05
69,718.617,0.19516,1.65842,0.90243,0.03336,1,0.55046,0.54776,0.23108,3.96453,0.78408,7.18893e-05,7.18893e-05,7.18893e-05
70,729.157,0.20286,1.70761,0.88633,0.03336,1,0.55046,0.54776,0.23108,3.96453,0.78408,6.72511e-05,6.72511e-05,6.72511e-05
71,739.552,0.26248,2.22459,0.97197,0.03336,1,0.55046,0.54776,0.23108,3.96453,0.78408,6.24479e-05,6.24479e-05,6.24479e-05
72,748.996,0.28087,2.26572,0.9739,0.77713,0.4,0.55074,0.54779,0.23918,3.94576,0.78133,5.74796e-05,5.74796e-05,5.74796e-05
73,759.504,0.24489,2.19524,0.93775,0.77713,0.4,0.55074,0.54779,0.23918,3.94576,0.78133,5.23462e-05,5.23462e-05,5.23462e-05
74,769.783,0.24856,2.07665,1.00248,0.77713,0.4,0.55074,0.54779,0.23918,3.94576,0.78133,4.70477e-05,4.70477e-05,4.70477e-05
75,780.269,0.22463,1.98902,0.90908,0.83764,0.4,0.55131,0.54786,0.23217,3.90245,0.77142,4.15841e-05,4.15841e-05,4.15841e-05
76,790.165,0.25995,1.94625,1.03676,0.83764,0.4,0.55131,0.54786,0.23217,3.90245,0.77142,3.59555e-05,3.59555e-05,3.59555e-05
77,800.184,0.42309,2.26944,1.16355,0.83764,0.4,0.55131,0.54786,0.23217,3.90245,0.77142,3.01617e-05,3.01617e-05,3.01617e-05
78,810.703,0.21447,2.02978,0.92044,0.89741,0.4,0.55188,0.54794,0.23004,3.86643,0.76469,2.42029e-05,2.42029e-05,2.42029e-05
79,821.565,0.28086,1.96901,1.03551,0.89741,0.4,0.55188,0.54794,0.23004,3.86643,0.76469,1.8079e-05,1.8079e-05,1.8079e-05
80,831.045,0.1878,1.88763,0.88461,0.89741,0.4,0.55188,0.54794,0.23004,3.86643,0.76469,1.17901e-05,1.17901e-05,1.17901e-05
